Date,VVAR3.SA
1996-07-10,2.6839449019295265
1996-10-15,3.3101987123797487
1996-10-16,3.2516399145194685
1996-10-21,3.253266547793366
1996-11-18,3.2272404154110186
1996-12-26,2.570080572756759
1997-01-29,2.4399499108450238
1997-02-07,3.3345982114881987
1997-03-07,
1997-05-20,1.6754322721135835
1997-06-02,
1997-07-07,1.626633273896683
1997-07-30,1.301306619117346
1997-08-13,1.3842649160860765
1997-08-19,1.9519599286760192
1997-08-21,1.9519599286760192
1997-10-31,1.626633273896683
1997-11-12,1.4655965797809107
1997-11-26,1.626633273896683
1998-01-26,
1998-02-27,
1998-03-12,1.4639699465070144
1999-02-10,0.4912432487167982
1999-07-23,0.8133166369483416
1999-07-27,
1999-08-24,0.9759799643380096
1999-11-26,0.9759799643380096
1999-12-03,1.0573116280328436
1999-12-13,1.3663719500732139
2000-03-30,1.3582387837037304
2000-04-10,1.3582387837037304
2000-04-14,1.5453016102018484
2000-05-12,1.2704005869133093
2000-05-24,1.626633273896683
2000-06-05,2.1146232560656872
2000-06-15,2.76527656562436
2000-07-06,
2000-08-18,2.749010232885394
2000-09-01,
2000-09-04,
2000-10-03,2.927939893014029
2000-10-05,
2000-10-27,2.927939893014029
2000-10-31,3.0092715567088635
2001-01-10,
2001-03-14,
2002-07-31,
2003-06-09,
2003-08-15,1.0654447944023269
2003-09-15,1.2199749554225119
2004-03-25,1.2199749554225119
2004-06-02,1.4639699465070144
2004-06-14,1.4639699465070144
2004-06-15,1.4639699465070144
2004-06-21,1.5453016102018484
2004-07-02,1.4639699465070144
2004-08-05,1.7892966012863507
2006-04-12,2.763649932350462
2006-04-20,2.6839449019295265
2006-04-25,3.415929875183033
2006-07-11,
2006-11-03,
2006-12-08,3.1719348840985306
2006-12-19,3.017404723078347
2006-12-27,2.927939893014029
2007-01-09,3.0499373885562804
2007-01-12,3.0678303545691428
2007-01-15,3.017404723078347
2007-01-16,2.940952959205203
2007-01-23,2.7782896318155332
2007-01-30,3.0092715567088635
2007-02-13,3.041804222186796
2007-03-08,
2007-04-10,3.583473102394393
2007-04-16,4.066583184741708
2007-04-20,4.391909839521042
2007-04-23,4.391909839521042
2007-05-02,5.857506419301953
2007-05-16,6.018543113417727
2007-05-17,6.181206440807394
2007-05-22,6.506533095586732
2007-05-30,6.506533095586732
2007-06-05,6.506533095586732
2007-06-18,6.343869768197061
2007-06-21,6.425201431891897
2007-07-11,7.350755764739108
2007-07-23,8.133166369483416
2007-07-24,
2007-08-01,8.131539736209517
2007-08-07,
2007-08-16,7.319849732535071
2007-09-05,6.6870893889892615
2007-09-20,6.831859750366066
2007-10-26,7.319849732535071
2007-11-08,
2007-11-16,7.319849732535071
2007-12-07,6.994523077755736
2007-12-11,6.994523077755736
2008-01-08,8.76539525019637
2008-01-09,8.774394629303346
2008-01-10,8.774394629303346
2008-01-11,8.549410151628903
2008-01-16,8.436917912791682
2008-01-17,7.424487763256679
2008-01-18,8.547160306852161
2008-01-21,7.872206873828826
2008-01-22,7.874456718605573
2008-01-24,6.999267100451978
2008-01-28,6.535799076442622
2008-01-29,7.042014151210123
2008-01-30,7.422237918479935
2008-01-31,6.974518807907789
2008-02-01,7.199503285582233
2008-02-06,6.974518807907789
2008-02-08,6.972268963131045
2008-02-11,7.199503285582233
2008-02-12,6.9700191183543
2008-02-13,6.9700191183543
2008-02-14,6.749534330233344
2008-02-15,6.9700191183543
2008-02-18,6.9700191183543
2008-02-19,6.8597767242938215
2008-02-20,6.972268963131045
2008-02-21,7.199503285582233
2008-02-22,7.514481554326459
2008-02-25,7.626973793163678
2008-02-26,7.143257166163623
2008-02-27,7.087011046745012
2008-02-28,7.07576182286129
2008-02-29,7.087011046745012
2008-03-03,6.749534330233344
2008-03-04,7.197253440805489
2008-03-05,6.974518807907789
2008-03-06,6.9700191183543
2008-03-07,7.042014151210123
2008-03-10,7.199503285582233
2008-03-11,7.424487763256679
2008-03-12,7.410988694596212
2008-03-13,7.3997394707124915
2008-03-14,7.356992419954346
2008-03-17,6.974518807907789
2008-03-18,7.311995524419456
2008-03-19,7.199503285582233
2008-03-20,7.18150452736828
2008-03-24,7.042014151210123
2008-03-25,7.0285150825496565
2008-03-26,6.925022222819412
2008-03-27,5.917091762837899
2008-03-28,5.849596419535565
2008-03-31,5.509869858247153
2008-04-01,5.512119703023898
2008-04-02,5.3996274641866755
2008-04-03,5.3996274641866755
2008-04-04,5.287135225349454
2008-04-07,5.3996274641866755
2008-04-08,5.3996274641866755
2008-04-09,5.3996274641866755
2008-04-10,5.4873714104797084
2008-04-11,5.588614425433209
2008-04-14,5.579615046326232
2008-04-15,5.622362097084374
2008-04-16,5.802349679223932
2008-04-17,5.6696088373960105
2008-04-18,5.624611941861122
2008-04-22,5.617862407530886
2008-04-23,5.552616909005297
2008-04-24,5.4873714104797084
2008-04-25,5.512119703023898
2008-04-28,5.512119703023898
2008-04-29,5.354630568651786
2008-04-30,6.162256866891817
2008-05-02,6.141708400125597
2008-05-05,6.073213510904868
2008-05-06,6.048098718190598
2008-05-07,6.048098718190598
2008-05-08,6.02298392547633
2008-05-09,6.162256866891817
2008-05-12,6.025267088450354
2008-05-13,6.038966066294501
2008-05-14,6.048098718190598
2008-05-15,6.025267088450354
2008-05-16,5.4795911376585265
2008-05-19,5.5937492863597456
2008-05-20,5.785534976177794
2008-05-21,5.696491620190843
2008-05-26,5.705624272086939
2008-05-27,5.7535706945414535
2008-05-28,5.776402324281696
2008-05-30,5.776402324281696
2008-06-02,5.776402324281696
2008-06-03,5.776402324281696
